Property_type,Description,Location,Price,Features
Finca en venta,Venta Finca Pozoelobispo Barichara,"Sobre La Via Nacional Barichara - San Gil, Barichara, Santander",1350000000 pesos,"['33,498 m² cubiertos', '3 habs.']"
Apartamento en venta,Apartamento En Venta En Bucaramanga Alvarez,"12 De Octubre, Bucaramanga, Santander",195000000 pesos,"['55 m² cubiertos', '2 habs.']"
Apartamento en venta,Apartamento En Venta En Bucaramanga Sotomayor,"12 De Octubre, Bucaramanga, Santander",390000000 pesos,"['132 m² cubiertos', '4 habs.']"
Casa en venta,Se Vende Casa En La Floresta Conjunto Residencial El Palmar,"La Floresta, Bucaramanga, Santander",460000000 pesos,"['174 m² cubiertos', '4 habs.']"
Apartamento en venta,Apartamento En Venta En Floridablanca Anillo Vial,"Floridablanca, Santander",350000000 pesos,"['99 m² cubiertos', '3 habs.']"
Local en venta,Local En Venta En Bucaramanga La Aurora,"12 De Octubre, Bucaramanga, Santander",85000000 pesos,"['33 m² cubiertos', '1 hab.']"
Casa en venta,Vendo Casa Ayllu Barichara Urb. Los Patiamarillos,"Urbanizacion Los Patiamarillos, Barichara, Santander",1000000000 pesos,"['296 m² cubiertos', '4 habs.']"
Casa en venta,Casa Esquinera Colonial De Dos Pisos Con Local,"Centro, Socorro, Santander",195000000 pesos,"['200 m² cubiertos', '4 habs.']"
Apartamento en venta,Apartamento En Venta En Floridablanca Lagos 1,"Floridablanca, Santander",250000000 pesos,"['120 m² cubiertos', '4 habs.']"
Local en venta,Venta Restaurante En Barichara -balcon De Mi Puebl,"Centro Historico, Barichara, Santander",850000000 pesos,['300 m² cubiertos']
Apartamento en venta,Apartamento En Venta En Bucaramanga Comuneros,"Comuneros, Bucaramanga, Santander",170000000 pesos,"['65 m² cubiertos', '2 habs.']"
Oficina en venta,Oficina En Venta En Bucaramanga Sotomayor,"12 De Octubre, Bucaramanga, Santander",300000000 pesos,"['90 m² cubiertos', '1 hab.']"
Apartamento en venta,Apartamento En Venta En Bucaramanga San Alonso,"San Alonso, Bucaramanga, Santander",261708000 pesos,"['97 m² cubiertos', '3 habs.']"
Apartamento en venta,Vendo Apartamento En San Alonso Premium Gold,"San Alonso, Bucaramanga, Santander",350000000 pesos,"['86 m² cubiertos', '3 habs.']"
Lote y casalote en venta,Vendo Lote Urbano Barichara Cra 2 # 6 - Impar,"Barichara, Santander",130000000 pesos,['152 m² totales']
Lote y casalote en venta,Venta Lote Villadonjuan Barichara,"Sobre La Via Nacional Barichara - San Gil, Barichara, Santander",178000000 pesos,"['2,500 m² totales']"
Apartamento en venta,Apartamento En Venta En Bucaramanga Ricaurte,"12 De Octubre, Bucaramanga, Santander",270000000 pesos,"['80 m² cubiertos', '3 habs.']"
Apartamento en venta,Apartamento En Venta En Bucaramanga El Tejar,"12 De Octubre, Bucaramanga, Santander",380000000 pesos,"['140 m² cubiertos', '3 habs.']"
Apartamento en venta,Apartamento En Venta En Bucaramanga San Francisco,"12 De Octubre, Bucaramanga, Santander",130000000 pesos,"['42 m² cubiertos', '2 habs.']"
Apartamento en venta,Venta Lote En Barichara  Urbano Tierra Adentro,"Centro Historico, Barichara, Santander",128000000 pesos,['191 m² cubiertos']
Apartamento en venta,Apartamento En Venta En Bucaramanga Sotomayor,"12 De Octubre, Bucaramanga, Santander",370000000 pesos,"['97 m² cubiertos', '2 habs.']"
Bodega en venta,Bodega En Venta En Bucaramanga San Francisco,"12 De Octubre, Bucaramanga, Santander",1200000000 pesos,"['522 m² cubiertos', '5 habs.']"
Apartamento en venta,Apartamento En Venta En Bucaramanga Bolarqui,"12 De Octubre, Bucaramanga, Santander",590000000 pesos,"['300 m² cubiertos', '3 habs.']"
Apartamento en venta,Apartaestudio En Venta En Bucaramanga Mutualidad,"12 De Octubre, Bucaramanga, Santander",130000000 pesos,"['40 m² cubiertos', '1 hab.']"
Apartamento en venta,Sobre Planos Y 3 Años De Plazo,"Bucaramanga, Santander",127000000 pesos,"['50 m² cubiertos', '3 habs.']"
Apartamento en venta,Apartamento En Venta En Bucaramanga San Francisco,"Bucaramanga, Santander",250000000 pesos,"['102 m² cubiertos', '3 habs.']"
Apartamento en venta,Apartamento En Venta En Floridablanca Villabel,"Floridablanca, Santander",190000000 pesos,"['150 m² cubiertos', '5 habs.']"
Local en venta,Local En Venta En Bucaramanga San Francisco,"12 De Octubre, Bucaramanga, Santander",890000000 pesos,['300 m² cubiertos']
Apartamento en venta,En Venta Apartamento Conjunto Gran Alicante,"Via Aeropuerto, Girón, Santander",220000000 pesos,"['67 m² cubiertos', '3 habs.']"
Apartamento en venta,Venta Apartamentos Bucaramanga Barrio Monterredondo,"Monterredondo, Bucaramanga, Santander",197864000 pesos,"['60 m² cubiertos', '3 habs.']"
Apartamento en venta,Apartamento En Venta En Bucaramanga San Francisco,"12 De Octubre, Bucaramanga, Santander",230000000 pesos,"['94 m² cubiertos', '3 habs.']"
Lote y casalote en venta,"Lote Rural Localizado A 1200 M. De Barichara Santander, Colombia","Barichara, Santander",220000000 pesos,"['8,000 m² totales']"
Finca en venta,Venta De Hermosa Finca En Puente Nacional Santander Vereda Popoa Sur,"Puente Nacional, Santander",220000000 pesos,"['2,000 m² cubiertos']"
Apartamento en venta,Apartamento En Venta En Bucaramanga Antonia Santos,"12 De Octubre, Bucaramanga, Santander",440000000 pesos,"['90 m² cubiertos', '3 habs.']"
Apartamento en venta,vendo  apartamento Duplex Conjunto La Peninsula- Cañaveral,"Floridablanca, Santander",470000000 pesos,"['200 m² cubiertos', '4 habs.']"
Apartamento en venta,Apartamento En Venta En Bucaramanga Comuneros,"12 De Octubre, Bucaramanga, Santander",200000000 pesos,"['90 m² cubiertos', '3 habs.']"
Casa en venta,Casa En Venta En Bucaramanga Pablo Sexto,"12 De Octubre, Bucaramanga, Santander",350000000 pesos,"['200 m² cubiertos', '6 habs.']"
Apartamento en venta,Apartamento En Venta En Bucaramanga San Alonso,"12 De Octubre, Bucaramanga, Santander",270000000 pesos,"['86 m² cubiertos', '3 habs.']"
Casa en venta,Casa En Conjunto Cerrado En Lagos Del Cacique,"Lagos Del Cacique., Bucaramanga, Santander",405000000 pesos,"['107 m² cubiertos', '3 habs.']"
Apartamento en venta,Apartamento En Venta En Bucaramanga La Floresta,"12 De Octubre, Bucaramanga, Santander",200000000 pesos,"['67 m² cubiertos', '2 habs.']"
Lote y casalote en venta,Lote En Venta En Los Santos Condominio El Recreo,"Los Santos, Santander",155000000 pesos,"['2,600 m² totales']"
Apartamento en venta,Apartamento En Venta En Bucaramanga El Prado,"El Prado, Bucaramanga, Santander",350000000 pesos,"['75 m² cubiertos', '3 habs.']"
Apartamento en venta,Apartamento En Venta En Bucaramanga,"12 De Octubre, Bucaramanga, Santander",290000000 pesos,"['90 m² cubiertos', '3 habs.']"
Apartamento en venta,Vendo Apartamento En Conjunto Cacique Gold Barrio Cacique,"Cacique, Bucaramanga, Santander",270000000 pesos,"['75 m² cubiertos', '3 habs.']"
Apartamento en venta,En Venta Apartamento Oportunidad Portal Del Vivero Cacique,"Cacique, Bucaramanga, Santander",160000000 pesos,"['60 m² cubiertos', '3 habs.']"
Local en venta,Venta Local S3-n1 Comercial Eco Centro Comercial Piedecuesta Santander,"Pinares, Piedecuesta, Santander",639118480 pesos,['315 m² cubiertos']
Apartamento en venta,Apartamento En Venta En Floridablanca Bellavista,"Floridablanca, Santander",180000000 pesos,"['100 m² cubiertos', '4 habs.']"
Lote y casalote en venta,Venta Lote En Barichara - 10mb-urb.patiamarillos,"Urbanizacion Los Patiamarillos, Barichara, Santander",150000000 pesos,['625 m² totales']
Lote y casalote en venta,Vendo Lote12mb Patiamarillos Barichara,"Urbanizacion Los Patiamarillos, Barichara, Santander",120000000 pesos,['625 m² totales']
Lote y casalote en venta,Vendo Lote Llanohigueras Barichara,"Zona Rural, Barichara, Santander",375000000 pesos,"['12,700 m² totales']"
Apartamento en venta,Apartamento En Venta En Bucaramanga La Joya,"12 De Octubre, Bucaramanga, Santander",230000000 pesos,"['34 m² cubiertos', '4 habs.']"
Apartamento en venta,Apartamento En Venta En Bucaramanga La Victoria,"La Victoria, Bucaramanga, Santander",260000000 pesos,"['87 m² cubiertos', '3 habs.']"
Lote y casalote en venta,Vendo Lote Urbano Barichara Zona Centrica,"Centro Historico, Barichara, Santander",250000000 pesos,['169 m² totales']
Apartamento en venta,"En Venta Apartamento Con Bodega, San Lorenzo Provenza Bucaramanga","Provenza, Bucaramanga, Santander",245000000 pesos,"['81 m² cubiertos', '3 habs.']"
Apartamento en venta,Venta Apto 401 Torre 3 Balcones De Ruitoque Floridablanca Santander,"Ruitoque, Floridablanca, Santander",271799063 pesos,"['93 m² cubiertos', '3 habs.']"
Lote y casalote en venta,Vendo Lote Elsilencio Barichara Sector Hospital,"Centro Historico, Barichara, Santander",450000000 pesos,['522 m² totales']
Casa en venta,Vendo Casa Paiwaichua Barichara,"Zona Rural, Barichara, Santander",1800000000 pesos,"['800 m² cubiertos', '5 habs.']"
Apartamento en venta,Apartamento En Venta En Bucaramanga San Francisco,"12 De Octubre, Bucaramanga, Santander",310000000 pesos,"['108 m² cubiertos', '5 habs.']"
Apartamento en venta,Venta Apto 1006 Torre 4 Balcones De Ruitoque Floridablanca Santander,"Ruitoque, Floridablanca, Santander",277268677 pesos,"['94 m² cubiertos', '3 habs.']"
Apartamento en venta,Apartamento En Venta En Bucaramanga San Francisco,"12 De Octubre, Bucaramanga, Santander",210000000 pesos,"['61 m² cubiertos', '3 habs.']"
Apartamento en venta,Conjunto Residencial Ventura,"La Paz, La Paz, Santander",140000000 pesos,"['53 m² cubiertos', '3 habs.']"
Apartamento en venta,Conjunto Residencial Urbano 24,"Bolivar, Bolivar, Santander",128000000 pesos,"['33 m² cubiertos', '1 hab.']"
Lote y casalote en venta,Venta Lote En Villanueva - Urbano - La Esperanza,"Zona Urbana Villanueva, Villanueva, Santander",300000000 pesos,['912 m² totales']
Lote y casalote en venta,Venta Lotecomercial Elporton Barichara,"Zona Periferica De Barichara Entre 1 - 3 Km, Barichara, Santander",5500000000 pesos,"['24,339 m² totales']"
Lote y casalote en venta,Venta Lote Lospatiamarillos Barichara,"Urbanizacion Los Patiamarillos, Barichara, Santander",100000000 pesos,['463 m² totales']
Lote y casalote en venta,Vendo Lote Villasantiago Barichara,"Villa Santiago, Barichara, Santander",100000000 pesos,['253 m² totales']
Lote y casalote en venta,Vendo Lote Cond.laantigua Barichara,"Zona Periferica De Barichara  Entre 0 - 1 Km, Barichara, Santander",170000000 pesos,"['1,050 m² totales']"
Apartamento en venta,En Venta Apartamento Bosques De Cañaveral Económico,"Cañaveral, Floridablanca, Santander",153000000 pesos,"['62 m² cubiertos', '3 habs.']"
Apartamento en venta,Apartamento En Venta En Bucaramanga Alfonso Lopez,"12 De Octubre, Bucaramanga, Santander",130000000 pesos,"['62 m² cubiertos', '3 habs.']"
Local en venta,Local En Venta En Floridablanca Villabel,"Floridablanca, Santander",106000000 pesos,"['54 m² cubiertos', '1 hab.']"
Apartamento en venta,Apartamento En Venta En Piedecuesta Barrio Blanco,"Piedecuesta, Santander",180000000 pesos,"['46 m² cubiertos', '2 habs.']"
Apartamento en venta,Se Vende Apartamento En Montecasino,"Floridablanca, Floridablanca, Santander",310000000 pesos,"['86 m² cubiertos', '3 habs.']"
Negocio en venta,Vendo O Permuto Negocio Y Cedo Casa,"Cra 22 Sn, Provenza, Bucaramanga, Santander",124567 pesos,['90 m² cubiertos']
Lote y casalote en venta,Vendo Lote10n Patiamarillos Barichara,"Urbanizacion Los Patiamarillos, Barichara, Santander",120000000 pesos,['625 m² totales']
Lote y casalote en venta,Venta Lote En Barichara - Las Tres Niñas,"Zona Periferica De Barichara  Entre 0 - 1 Km, Barichara, Santander",317800000 pesos,"['4,540 m² totales']"
Apartamento en venta,Apartamento En Venta En Bucaramanga Bolarqui,"12 De Octubre, Bucaramanga, Santander",370000000 pesos,"['100 m² cubiertos', '3 habs.']"
Lote y casalote en venta,Lote En  Los Curos(piedecuesta) Rah Co: 22-1480,"Los Curros, Piedecuesta, Santander",500000000 pesos,"['10,000 m² totales']"
Apartamento en venta,Venta Apto 706 Torre 4 Balcones De Ruitoque Floridablanca Santander,"Ruitoque, Floridablanca, Santander",271799063 pesos,"['94 m² cubiertos', '3 habs.']"
Edificio en venta,Edificio En Venta En Floridablanca La Cumbre,"Floridablanca, Santander",580000000 pesos,"['790 m² cubiertos', '4 habs.']"
Apartamento en venta,Apartamento En Park 200,"Rio Frio, Floridablanca, Santander",300000000 pesos,"['87 m² cubiertos', '3 habs.']"
Apartamento en venta,Edificio Kotokoni - Caldas,"Caldas, Floridablanca, Santander",95000000 pesos,"['37 m² cubiertos', '2 habs.']"
Apartamento en venta,Venta Apto 206 Torre 4 Balcones De Ruitoque Floridablanca Santander,"Ruitoque, Floridablanca, Santander",274809968 pesos,"['94 m² cubiertos', '3 habs.']"
Apartamento en venta,Vendo Excelente  Apartamento C.r Puerto Varas-- Bucaramanga,"Bucaramanga, Santander",215000000 pesos,"['69 m² cubiertos', '3 habs.']"
Casa en venta,Casa En Venta En Floridablanca Centro,"Floridablanca, Santander",500000000 pesos,"['68 m² cubiertos', '7 habs.']"
Lote y casalote en venta,Parcela Villaren Condominio Campestre,"Meseta De Los Santos, Los Santos, Santander",100000000 pesos,"['1,500 m² totales']"
Lote y casalote en venta,Vendo Lotes5y6 Patiamarillos Barichara Urbanos 1148 Mst2,"Urbanizacion Los Patiamarillos, Barichara, Santander",220000000 pesos,"['1,148 m² totales']"
Lote y casalote en venta,Venta Lote Patiamarilloscentro Barichara,"Urbanizacion Los Patiamarillos, Barichara, Santander",150000000 pesos,['609 m² totales']
Apartamento en venta,Apartamento En Venta En Bucaramanga La Victoria,"12 De Octubre, Bucaramanga, Santander",350000000 pesos,"['120 m² cubiertos', '4 habs.']"
Local en venta,Local En Venta En Bucaramanga Ricaurte,"12 De Octubre, Bucaramanga, Santander",280000000 pesos,"['85 m² cubiertos', '4 habs.']"
Lote y casalote en venta,Se Vende Parcela De Cafe Organico A Tan Solo 15 Minutos Del Socorro,"La Honda, Socorro, Santander",320000000 pesos,"['11,000 m² totales']"
Apartamento en venta,Vendo  Excelente Apartamento Altos De La Pradera - Bucaramanga,"Bucaramanga, Santander",330000000 pesos,"['95 m² cubiertos', '3 habs.']"
Casa en venta,Casa Campestre Sin Propiedad Horizontal,"Vereda Villa Esperanza Mesa De Los Santos., Piedecuesta, Santander",260000000 pesos,"['66 m² cubiertos', '3 habs.']"
Local en venta,Local En Venta En Floridablanca Centro Floridablanca,"Floridablanca, Santander",180000000 pesos,['36 m² cubiertos']
Lote y casalote en venta,Vendo 4lotes Patiamarillos Barichara 2.411 Mts2,"Urbanizacion Los Patiamarillos, Barichara, Santander",600000000 pesos,"['2,411 m² totales']"
Casa en venta,Conjunto Los Laureles,"Ciudadela Real De Minas, Bucaramanga, Santander",310000000 pesos,"['77 m² cubiertos', '4 habs.']"
Apartamento en venta,Vendo Excelente  apartamento Edificio Vizcaya Gold- Bucaramanga,"Bucaramanga, Santander",370000000 pesos,"['99 m² cubiertos', '3 habs.']"
Bodega en venta,Bodega En Venta En Bucaramanga San Francisco,"12 De Octubre, Bucaramanga, Santander",550000000 pesos,['270 m² cubiertos']
Apartamento en venta,Apartamento En  Venta,"Bucaramanga, Santander",120000000 pesos,"['63 m² cubiertos', '3 habs.']"
Local en venta,Local En Venta En Bucaramanga Bolarqui,"12 De Octubre, Bucaramanga, Santander",300000000 pesos,"['120 m² cubiertos', '1 hab.']"
Local en venta,Local En Venta En Bucaramanga Real De Minas,"Centro, Bucaramanga, Santander",150000000 pesos,['23 m² cubiertos']
Casa en venta,Se Vende Casa En Barrio Cañaveral Floridablanca,"Cañaveral, Floridablanca, Santander",680000000 pesos,"['150 m² cubiertos', '4 habs.']"
Lote y casalote en venta,Vendo Lote El Aljibe Barichara 446 Mts2 - Sector Hosptial,"Centro Historico, Barichara, Santander",300000000 pesos,['446 m² totales']
Casa en venta,Casa En  Venta,"Barbosa, Santander",249500000 pesos,"['144 m² cubiertos', '5 habs.']"
Casa en venta,Se Vende Casa En Garcia Rovira,"García Rovira, Bucaramanga, Santander",550000000 pesos,"['163 m² cubiertos', '3 habs.']"
Lote y casalote en venta,Lote En Venta En Floridablanca Vda Caciano,"Floridablanca, Santander",250000000 pesos,"['1,250 m² totales']"
Casa en venta,En Venta Amplia Casa Barrio Caracolí Floridablanca Económica,"Caracoli, Floridablanca, Santander",172000000 pesos,"['144 m² cubiertos', '4 habs.']"
Apartamento en venta,Venta Económico Apartamento Torres De Bicentenario Floridablanca,"Niza Floridablanca, Floridablanca, Santander",195000000 pesos,"['68 m² cubiertos', '3 habs.']"
Casa en venta,Permuto O Vendo Hermosisima Casa Campestre Bucaramanga,"Curos, Bucaramanga, Santander",1600000000 pesos,"['790 m² cubiertos', '6 habs.']"
Casa en venta,Vendo   Casa De 3 Pisos En Ruitoque Condominio,"Floridablanca, Santander",1950000000 pesos,"['506 m² cubiertos', '4 habs.']"
Apartamento en venta,Vendo   Excelente Penthouse Edificio Itza Rivera Maya- Sotomayor,"Bucaramanga, Santander",550000000 pesos,"['198 m² cubiertos', '3 habs.']"
Casa en venta,Casas En Venta Pablo Sexto 815-1197,"Pablo Sexto, San Gil, Santander",124320000 pesos,"['147 m² cubiertos', '5 habs.']"
Apartamento en venta,Apartaestudio En Venta En Bucaramanga San Alonso,"12 De Octubre, Bucaramanga, Santander",120000000 pesos,"['22 m² cubiertos', '1 hab.']"
Lote y casalote en venta,Venta Lote Colinaigüazu Barichara,"Sobre La Via Nacional Barichara - San Gil, Barichara, Santander",700000000 pesos,"['8,650 m² totales']"
Apartamento en venta,Apartamento En Venta En Piedecuesta Palermo,"Piedecuesta, Santander",120000000 pesos,"['65 m² cubiertos', '3 habs.']"
Apartamento en venta,Apartamento En Venta En Bucaramanga La Aurora,"12 De Octubre, Bucaramanga, Santander",260000000 pesos,"['133 m² cubiertos', '3 habs.']"
Oficina en venta,Oficina En Venta En Bucaramanga La Triada,"12 De Octubre, Bucaramanga, Santander",1200000000 pesos,['166 m² cubiertos']
Apartamento en venta,Apartamento En Venta En Floridablanca Balcones De Ruitoque,"Floridablanca, Santander",310000000 pesos,"['85 m² cubiertos', '3 habs.']"
Oficina en venta,Oficina En Venta En Bucaramanga La Triada,"12 De Octubre, Bucaramanga, Santander",1000000000 pesos,['166 m² cubiertos']
Bodega en venta,Bodega En Venta En Floridablanca Casco Antiguo Y Florida Real,"Floridablanca, Santander",400000000 pesos,['250 m² cubiertos']
Casa en venta,Casa En Venta En Floridablanca Zapamanga Ii,"Floridablanca, Santander",170000000 pesos,"['99 m² cubiertos', '6 habs.']"
Lote y casalote en venta,Vendo Excelente  lote Condominio Mesa Del Chicamocha,"Los Santos, Santander",90000000 pesos,"['1,150 m² totales']"
Lote y casalote en venta,407 M2 Para Construir La Casa De Tus Sueños,"Puerta De Golpe, Socorro, Santander",70000000 pesos,['407 m² totales']
Apartamento en venta,Aqua Tower Piso 21,"Cabecera, Bucaramanga, Santander",760000000 pesos,"['118 m² cubiertos', '3 habs.']"
Local en venta,Local En Venta En Bucaramanga San Miguel,"12 De Octubre, Bucaramanga, Santander",90000000 pesos,['20 m² cubiertos']
Apartamento en venta,Venta Apartamento Duplex Conjunto Residencial Serrezuela 2,"Tejar, Bucaramanga, Santander",800000000 pesos,"['187 m² cubiertos', '5 habs.']"
Lote y casalote en venta,Lote En Venta En Giron Giron,"Girón, Santander",900000000 pesos,"['1,500 m² totales']"
Casa en venta,Venta Casa Diamante Bucaramanga,"Diamante 2, Bucaramanga, Santander",350000000 pesos,"['143 m² cubiertos', '4 habs.']"
Casa en venta,Vendo   Excelente Casa Quintas  de Cañaveral,"Floridablanca, Santander",360000000 pesos,"['108 m² cubiertos', '3 habs.']"
Edificio en venta,Edificio En Venta En Floridablanca La Cumbre,"Floridablanca, Santander",220000000 pesos,"['150 m² cubiertos', '6 habs.']"
Apartamento en venta,En Venta Apartamento Casa Bosque Cañaveral,"Cañaveral, Floridablanca, Santander",385000000 pesos,"['89 m² cubiertos', '3 habs.']"
Lote y casalote en venta,Vendo Lote2 Vda.llano Barichara 2.500 Mts,"Zona Rural, Barichara, Santander",165000000 pesos,"['2,500 m² totales']"
Casa en venta,Vendo Casa En El Conjunto Cañaveral Campestre I Etapa Barrio Cañaveral,"Cañaveral, Floridablanca, Santander",740000000 pesos,"['220 m² cubiertos', '4 habs.']"
Apartamento en venta,vendo  apartamento Altos De Fontana- Bucaramanga,"Bucaramanga, Santander",175000000 pesos,"['65 m² cubiertos', '3 habs.']"
Apartamento en venta,Edificio Torre Boulevard,"Alarcón, Bucaramanga, Santander",185000000 pesos,"['72 m² cubiertos', '3 habs.']"
Finca en venta,Finca En Venta En Piedecuesta Mesa De Los Santos,"Piedecuesta, Santander",1900000000 pesos,"['536 m² cubiertos', '6 habs.']"
Casa en venta,Vendo Casa En El Barrio San Alonso,"San Alonso, Bucaramanga, Santander",370000000 pesos,"['193 m² cubiertos', '3 habs.']"
Lote y casalote en venta,Vendo Lote1mb Patiamarillos Barichara 574mts2,"Urbanizacion Los Patiamarillos, Barichara, Santander",120000000 pesos,['574 m² totales']
Casa en venta,Venta Casa Hacienda Santa More San Gil - Santander,"Santa More, San Gil, Santander",140000000 pesos,"['105 m² cubiertos', '2 habs.']"
Finca en venta,Vendo Finca Llanada En La Mesa De Los Santos,"Mesa De Los Santos, Piedecuesta, Santander",750000000 pesos,['30 m² cubiertos']
Apartamento en venta,Vendo Excelente  apartamento Altos De Cabecera- Bucaramanga,"Bucaramanga, Santander",360000000 pesos,"['115 m² cubiertos', '3 habs.']"
Casa en venta,Venta Casa Floridablanca Santander,"154 17, Floridablanca, Santander",770000000 pesos,"['205 m² cubiertos', '3 habs.']"
Apartamento en venta,Apartamento En Venta En Bucaramanga Bolarqui,"12 De Octubre, Bucaramanga, Santander",360000000 pesos,"['85 m² cubiertos', '3 habs.']"
Casa en venta,Se Vende Casa Campestre En La Mesa De Los Santos,"Los Santos, Santander",600000000 pesos,"['400 m² cubiertos', '6 habs.']"
Apartamento en venta,Vendo Excelente Penthouse Duplex Altos De Cañaveral Campestre,"Floridablanca, Santander",395000000 pesos,"['204 m² cubiertos', '4 habs.']"
Apartamento en venta,En Venta Apartamento Amplio Provenza Y Económico,"Provenza, Bucaramanga, Santander",180000000 pesos,"['81 m² cubiertos', '4 habs.']"
Apartamento en venta,Vendo Excelente  apartamento C.r Alameda Cañaveral,"Floridablanca, Santander",250000000 pesos,"['89 m² cubiertos', '3 habs.']"
Apartamento en venta,En Venta Apartamento Conjunto Ventura Floridablanca Económico,"Calle 200, Floridablanca, Santander",137000000 pesos,"['54 m² cubiertos', '3 habs.']"
Apartamento en venta,Apartamento En Venta En Bucaramanga Sotomayor,"12 De Octubre, Bucaramanga, Santander",500000000 pesos,"['98 m² cubiertos', '3 habs.']"
Casa en venta,Arriendo o Vendo  excelente Casa Conucos- Bucaramanga,"Bucaramanga, Santander",1100000000 pesos,"['294 m² cubiertos', '7 habs.']"
Lote y casalote en venta,Vendo Lote5b Vda.caucho Barichara - Sabana Baraka,"Zona Periferica De Barichara Entre 1 - 3 Km, Barichara, Santander",510000000 pesos,"['10,000 m² totales']"
Apartamento en venta,Venta Permuta Apartamento Muy Amplio Floridablanca,"Casco Urbano Floridablanca, Floridablanca, Santander",195000000 pesos,"['131 m² cubiertos', '3 habs.']"
Casa en venta,Venta Casa En Barichara - Guane Urb. Moncora,"Centro Poblado Guane, Barichara, Santander",280000000 pesos,"['220 m² cubiertos', '3 habs.']"
Casa en venta,En Venta Casa Amplia Y Remodelada  Floridablanca,"Casco Urbano Floridablanca, Floridablanca, Santander",350000000 pesos,"['360 m² cubiertos', '6 habs.']"
Casa en venta,Parcela Villa Mariela,"Rio Frio, Floridablanca, Santander",590000000 pesos,"['102 m² cubiertos', '5 habs.']"
Casa en venta,Vendo Hermosa Casa En Los Cedros,"Pan De Azúcar, Bucaramanga, Santander",760000000 pesos,"['120 m² cubiertos', '5 habs.']"
Casa en venta,Venta Casa Lacanterainterior Barichara,"Centro Historico, Barichara, Santander",300000000 pesos,"['140 m² cubiertos', '3 habs.']"
Casa en venta,Vendo Casa En Conjunto Los Almendros En Real De Minas,"Real De Minas, Bucaramanga, Santander",250000000 pesos,"['180 m² cubiertos', '4 habs.']"
Casa en venta,Vendo  espectacular Casa Cañaveral-floridablanca,"Floridablanca, Santander",750000000 pesos,"['325 m² cubiertos', '5 habs.']"
Casa en venta,En Venta Casa Conjunto San Fermin Bucaramanga Economica,"Coaviconsa Provenza, Bucaramanga, Santander",270000000 pesos,"['85 m² cubiertos', '3 habs.']"
Casa en venta,Vendo Excelente Casa La Campiña-giron,"Girón, Santander",420000000 pesos,"['200 m² cubiertos', '4 habs.']"
Apartamento en venta,Vendo apartamento Edificio Torre Del Vento - Altos De Cabecera,"Bucaramanga, Santander",720000000 pesos,"['136 m² cubiertos', '3 habs.']"
Casa en venta,Casa En El Poblado Giron,"Poblado, Girón, Santander",335000000 pesos,"['140 m² cubiertos', '4 habs.']"
Lote y casalote en venta,Estación De Servicio Y Lavadero - Ocamonte,"Vía Principal, Ocamonte, Santander",750000000 pesos,"['1,357 m² totales']"
Casa en venta,Vendo Casa Balcones De Bella Isla San Gil Casa 67,"Zona Urbana, San Gil, Santander",550000000 pesos,"['306 m² cubiertos', '4 habs.']"
Apartamento en venta,Conjunto Residencial Bellomonte  (floridablanca),"El Recreo, Floridablanca, Santander",230000000 pesos,"['69 m² cubiertos', '2 habs.']"
Lote y casalote en venta,Vendo Lote En Vereda Navarra En La Mesa De Los Santos,"Mesa De Los Santos, Piedecuesta, Santander",150000000 pesos,"['10,000 m² totales']"
Apartamento en venta,vendo  apartamento Edificio Picasso Cubismo Centro Bucaramanga,"Bucaramanga, Santander",280000000 pesos,"['93 m² cubiertos', '3 habs.']"
Lote y casalote en venta,Colinas Del Lago Lote,"Mesa De Los Santos, Los Santos, Santander",168000000 pesos,"['4,589 m² totales']"
Casa en venta,Venta Finca Mahanaim Barichara,"Zona Periferica De Barichara Entre 1 - 3 Km, Barichara, Santander",6470000000 pesos,"['2,500 m² cubiertos', '10 habs.']"
Apartamento en venta,Apartamento Mirador De Versalles Vista A Cañaveral,"Versalles, Floridablanca, Santander",330000000 pesos,"['95 m² cubiertos', '3 habs.']"
Casa en venta,En Venta Casa Esquinera Quinta Estrella Bucaramanga Económica,"Campo Hermoso, Bucaramanga, Santander",200000000 pesos,"['82 m² cubiertos', '3 habs.']"
Casa en venta,Vendo Casa En El Conjunto Nueva Santa Barbara Barrio Cacique,"Cacique, Bucaramanga, Santander",400000000 pesos,"['120 m² cubiertos', '4 habs.']"
Casa en venta,Vendo Casa En El Conjunto Mirador Del Cacique Barrio Cacique,"Cacique, Bucaramanga, Santander",650000000 pesos,"['250 m² cubiertos', '4 habs.']"
Apartamento en venta,"Apartamento Altos De Cabecera, Shantik","Cabecera Del Llano, Bucaramanga, Santander",790000000 pesos,"['133 m² cubiertos', '3 habs.']"
Finca en venta,Finca En Venta En Piedecuesta Vereda La Mata,"Piedecuesta, Santander",2800000000 pesos,['257 m² cubiertos']
Apartamento en venta,vendo  apartamento Duplex Portal De Alcala- Cabecera Del Llano,"Bucaramanga, Santander",490000000 pesos,"['120 m² cubiertos', '3 habs.']"
Casa en venta,Casa En Venta En Bucaramanga Lagos Del Cacique,"12 De Octubre, Bucaramanga, Santander",883531000 pesos,"['230 m² cubiertos', '1 hab.']"
Apartamento en venta,Vendo Apartamentos Sobre Planos Sector Provenza,"Provenza, Bucaramanga, Santander",291000000 pesos,"['85 m² cubiertos', '3 habs.']"
