Property_type,Description,Location,Price,Features
Lote y casalote en venta,Vendo Lote En  Vereda Lebrija(lebrija) C.o  22-1504,"Vereda Lebrija, Lebrija, Santander",500000000 pesos,"['4,785 m² totales']"
Apartamento en venta,Vendo Apartamento En El Conjunto Torres De San Lorenzo Barrio Provenza,"Provenza, Bucaramanga, Santander",190000000 pesos,"['60 m² cubiertos', '2 habs.']"
Casa en venta,Vendo Casa En  Vereda Los Colorados C.o  22-1487,"Los Curos, Piedecuesta, Santander",800000000 pesos,"['250 m² cubiertos', '3 habs.']"
Apartamento en venta,Edificio Multifamiliar Amarantus,"Comuneros, Bucaramanga, Santander",195000000 pesos,"['40 m² cubiertos', '2 habs.']"
Casa en venta,Se Vende Casa En El Diamante 2,"Diamante Ii, Bucaramanga, Santander",600000000 pesos,"['161 m² cubiertos', '5 habs.']"
Apartamento en venta,Se Vende Apartamento Edificio Cordillera ( Pan De Azucar ),"Pan De Azúcar, Bucaramanga, Santander",420000000 pesos,"['160 m² cubiertos', '3 habs.']"
Casa en venta,Casas En Venta Terrazas 815-1175,"Terrazas, Terrazas, Bucaramanga, Santander",395113119 pesos,"['220 m² cubiertos', '1 hab.']"
Apartamento en venta,Edificio Primavera Parque,"Barro Blanco, Piedecuesta, Santander",130000000 pesos,"['51 m² cubiertos', '3 habs.']"
Oficina en venta,Oficinas En Venta Bucaramanga 815-2512,"Bucaramanga, Bucaramanga, Santander",7372534 pesos,['60 m² cubiertos']
Lote y casalote en venta,Lotes En Venta Piedecuesta 815-1647,"Piedecuesta, Piedecuesta, Santander",425250000 pesos,"['2,430 m² totales']"
Apartamento en venta,En Venta Amplio  Apartamento Orquídea Cañaveral,"Cañaveral, Floridablanca, Santander",255000000 pesos,"['98 m² cubiertos', '4 habs.']"
Apartamento en venta,Vendo Apartamento En  Universidad C.o  22-1489,"La Universidad, Bucaramanga, Santander",210000000 pesos,"['130 m² cubiertos', '3 habs.']"
Casa en venta,Vendo Casa En El Conjunto Quintas Del Palmar Barrio Palomitas,"Palomitas, Floridablanca, Santander",340000000 pesos,"['190 m² cubiertos', '4 habs.']"
Apartamento en venta,Apartamento En Venta En Floridablanca Alamedas De Cañaveral,"Floridablanca, Santander",240000000 pesos,"['96 m² cubiertos', '3 habs.']"
Apartamento en venta,Apartamento En Venta En Bucaramanga La Concordia,"La Concordia, Bucaramanga, Santander",205000000 pesos,"['61 m² cubiertos', '3 habs.']"
Apartamento en venta,Apartamento En Venta En Bucaramanga San Francisco,"San Francisco, Bucaramanga, Santander",245000000 pesos,"['63 m² cubiertos', '3 habs.']"
Apartamento en venta,Vendo Apartamento Penthouse En Conjunto Park 200 Barrio Floridablanca,"Florida, Floridablanca, Santander",490000000 pesos,"['175 m² cubiertos', '3 habs.']"
Apartamento en venta,Se Vende Apartamento En Altos De Bellavista,"Bellavista, Bucaramanga, Santander",99000000 pesos,"['42 m² cubiertos', '2 habs.']"
Apartamento en venta,Edificio Torre Bonarka,"La Aurora, Bucaramanga, Santander",255000000 pesos,"['82 m² cubiertos', '3 habs.']"
